hotel_name,location,wrote,rating,title,review_text
Secrets Cap Cana Resort & Spa,"Villaviciosa, Spain",December 2021,5,Vacaciones en El paraíso,"El hotel impecable todo muy limpio las habitaciones amplias y con todo tipo de detalles. Las medidas cocid estaban bien ya que en el bufete tú no tocas nada todo te lo sirven ellos . En la piscina y en la playa hay muchísimos camareros muy atentos , en especial Fidelina( es la bomba) que te sirven continuamente y te desinfectan las manos antes de coger la bebida.Los restaurantes , la barbacoa de la playa con la paella y el bufete de diez, no puedes decir que algo está malo.Todo el personal es súper amable y divertido.Nuestro mayordomo Gerlyn, un diez . Lo mejor LA DIVA, que junto a sus compañeros Mr Blue,cherry etc.. hacen que te diviertas y te lo pases genial .La playa muy bonita."
Secrets Cap Cana Resort & Spa,"Villaviciosa, Spain",December 2021,5,HOTEL de la EXCELENCIA,"EXCELENTE, magnífico, excepcional, maravilloso, todos estos adjetivos se quedan cortos para calificar nuestra estancia en el Secret Cap Cana. Lo que hace que este hotel se merezca estos calificativos es SU PERSONAL, no hemos encontrado jamás viajando por todo el mundo, gente tan maravillosa y profesional como el equipo humano que forma la familia de este hotel. Empezando por JOSE REYES, nuestro concierge, persona más profesional, amable, encantadora y amante de su trabajo, difícil encontrar en la hostelería, nos ha hecho nuestra estancia, maravillosa, estando a cada segundo pendiente de que estuviéramos cómodos y atendidos en cualquier punto del hotel. Sin olvidar a DIVA, con su simpatía y agrado nos ha hecho pasar ratos inolvidables, igualmente pendiente a cada momento del día"
Secrets Cap Cana Resort & Spa,"Villaviciosa, Spain",December 2021,5,Sentirse como en CASA!!!!!,"Tras conocer bastantes hoteles en distintos lugares del mundo puedo decir que Secrets Cap Cana es el HOTEL (en mayúsculas), supera cualquier tipo de expectativa por sus detalles, sus servicios , su gastronomía....todo esta cuidado al mínimo detalle y gira entorno al cliente, por tanto la experiencia como usuario es de 10. Las habitaciones son grandes y en mi caso (ocean View ) con unas vistas increible. Recomiendo todos y cada uno de los restaurantes que son todos a la carta y con un servicio de una amabilidad fuera de lo normal, y es aquí donde destaca sobremanera, la calidad humana de todo el personal. Quiero destacar también el servicio de animación y la calidad de las actividades donde tan bien nos guiaron Cherry, Diva o RedBull, entre ellas la que más me gusto es la clase"
Secrets Cap Cana Resort & Spa,"Villaviciosa, Spain",December 2021,5,Muy buen nivel,Muy buen hotel. Cumple con todos los requisitos para descansar y ser muy bien atendido. El nivel de los restaurantes es alto y la disposición del personal excelente. La playa y las comodidades del sector son de las mejores que he visto en destinos similares. Gracias al mayordomo Phileppe por todo tu trabajo.
Secrets Cap Cana Resort & Spa,"Villaviciosa, Spain",December 2021,5,10,Excelente todo ....sobre todo el personal. Es lo que diferencia a un resort de otros. Aquí la calidad humana y profesional de cada trabajador sea cualsea su departamento solo puede ser calificada con un 10. Queremos dar las gracias en especial a la DIVA que nos ayudo en nuestra llegada y cada día nos visitaba muy preocupada en que nuestra estancia fuese feliz. Volveremos sin duda ya lo estamos deseando.
Secrets Cap Cana Resort & Spa,"Santa Eulalia del Río, Spain",November 2021,4,Hotel muy bonito,"Estuvimos mi pareja y yo una semana y la verdad es que nos gustó mucho. El hotel muy bonito y cómodo. Buen acceso a la playa. A destacar sobre todo el servicio de habitaciones, tanto de limpieza como el room service. El personal que trabaja para el hotel muy atento y simpático, en especial Cherry de animación y las camareras tanto del lobby como del bufet. Lo negativo y el motivo por el cual no tenemos pensado volver a ese hotel es porque está centrado básicamente para el turista americano, tanto en horarios, musica, ambiente…todo! Me faltó mas música del país y en español, ya que al final viajas tan lejos para escuchar música típica de allí y probar su comida, y en todo momento escuchamos música en inglés y ambiente centrado totalmente en la cultura americana y eso hizo que al"
Secrets Cap Cana Resort & Spa,"Santa Eulalia del Río, Spain",December 2021,5,25th Wedding Anniversary,"Hermosa experiencia de celebración de nuestro 25 aniversario de bodas, sumamente relajante, hermoso hotel, atencion extraordinaria de nuestro mayordomo Miguel estuvo atendiendo cada una de nuestras necesidades, incluso cuando mi esposo se enfermo el lo asistió inmediatamente. Totalmente recomendado."
Secrets Cap Cana Resort & Spa,"Santa Eulalia del Río, Spain",December 2021,3,Muy buen empaquetado pero nada mas.,Estuvimos una semana en el Hotel. Habitaciones. Amplias y confortables. Personal. Atento pero forzado en sus palabras y basado en las propinas especialmente del turista americano Comida. Mucha de ella precocinada y sin atender al tipo de comida que sirven en cada restaurante. Se percibe en todo momento que es un hotel para y el turismo americano. Dudo que una persona europea le guste el tipo de comida. A veces es mejor poco que muchos restaurantes y malos. Bebida. Vinos de calidad baja el resto no puedo opinar. Clientela. Turismo americano de paquete all inclusive Me entristece que un hotel tan bonito y con las características tan buenas y con tan buenas referencias decepcione. Estoy totalmente deacuerdo con las opiniones negativas de tríp advisor de las cuales siempre
Secrets Cap Cana Resort & Spa,"Santa Eulalia del Río, Spain",November 2021,5,Simplemente fabuloso,"Hemos visitado varios resorts a lo largo del tiempo y hemos encontrado nuestra estadia en Secrets Cap Cana fabuloso con su servicio de Concierge es algo muy bien pensado pues si encuentras cosas que no te parecen ellos te lo solucionan al instante, fue una muy bonita experiencia tambien con el personal de todo el hotel son muy amables y muy respetuosos que es algo que no hemos encontrado en otros hoteles, el lugar muy limpio y agradable su playa mismo si es el tiempo del Sargazo ellos se preocupan de tenerla muy limpia, total linda experiencia."
Secrets Cap Cana Resort & Spa,"Santa Eulalia del Río, Spain",November 2021,5,"Excelente facilidades, mejor servicio de su personal","Celebramos nuestra aniversario de boda. Fue una experiencia muy agradable. Hermoso hotel muy bien cuidado, excelente playa, y piscinas. Los shows nocturnos con la Secret Band. La atención del personal fue excelente, sin duda le añadieron a que nuestra viaje fuera memorable , en especial Martínez como concierge, Gustavo en area de playa, Redbull en area de entretenimientos y Bike Tour, Miguel en cena romántica en la playa, Eurys en Restaurante Porto Fino. Alexis y “Suzuki” su compañero chef del Teppanyaki. Dieron la milla extra para que nos sintiéramos como muy cómodos y desear regresar luego."
